0.05, 0.25, 0
0.05, 0.75, 0
0.05, 1.25, 0
0.05, 1.75, 0
0.05, 2.25, 0
0.15, 0.25, 0
0.15, 0.75, 0
0.15, 1.25, 0
0.15, 1.75, 0
0.15, 2.25, 0
0.25, 0.25, 0
0.25, 0.75, 0
0.25, 1.25, 0
0.25, 1.75, 0
0.25, 2.25, 0
0.35, 0.25, 0
0.35, 0.75, 0
0.35, 1.25, 0
0.35, 1.75, 0
0.35, 2.25, 0
0.45, 0.25, 1
0.45, 0.75, 0
0.45, 1.25, 0
0.45, 1.75, 0
0.45, 2.25, 0
0.55, 0.25, 2
0.55, 0.75, 1
0.55, 1.25, 0
0.55, 1.75, 0
0.55, 2.25, 0
0.65, 0.25, 4
0.65, 0.75, 0
0.65, 1.25, 0
0.65, 1.75, 0
0.65, 2.25, 0
0.75, 0.25, 9
0.75, 0.75, 1
0.75, 1.25, 0
0.75, 1.75, 0
0.75, 2.25, 0
0.85, 0.25, 1
0.85, 0.75, 0
0.85, 1.25, 0
0.85, 1.75, 0
0.85, 2.25, 0
0.95, 0.25, 0
0.95, 0.75, 0
0.95, 1.25, 0
0.95, 1.75, 0
0.95, 2.25, 0
